Node_ID,Nama Fasilitas,Jenis,Type,Lat,Lon,Demand_Ton,Kecamatan_ID,Cost_Gerobak
83,MASTERINDO,TPST/TPS 3R,TPS,-6.9373456,107.6575377,3.6,11,297377
84,RS.Humana Prima,TPST/TPS 3R,TPS,-6.9407992,107.6640191,5.28,11,459124
85,RS AL Islam,TPST/TPS 3R,TPS,-6.940072,107.6686788,5.5,11,515952
86,Metro Indah Mall,TPST/TPS 3R,TPS,-6.9434543,107.6583308,5.5,11,418192
87,"CIBANGKONG RW 10, 6",TPST/TPS 3R,TPS,-6.949202,107.663846,5.5,11,490331
88,POOL KECAMATAN 12,POOL,POOL,-6.87079935,107.6197041,0.0,12,0
89,TPS 3R Dago Bengkok,TPST/TPS 3R,TPS,-6.8709987,107.6199712,5.5,12,414412
90,Hotel Jayakarta,TPST/TPS 3R,TPS,-6.8706,107.619437,4.91,12,424067
91,POOL KECAMATAN 13,POOL,POOL,-6.912306283333332,107.59647945,0.0,13,0
92,Rumah Sakit Melinda 2,TPST/TPS 3R,TPS,-6.9063167,107.5983705,5.5,13,470117
93,PASAR ANDIR,TPST/TPS 3R,TPS,-6.91782489999999,107.590384,5.5,13,443156
94,Hotel Citradream,TPST/TPS 3R,TPS,-6.9117733,107.5981576,4.76,13,457698
95,Grand Pacific Hotel,TPST/TPS 3R,TPS,-6.9087923,107.5979058,5.07,13,402584
96,Hotel Hilton Bandungi(PT.Yuskitama Lestar),TPST/TPS 3R,TPS,-6.9130268,107.5977394,5.5,13,505874
97,Rumah Sakit Kebon Jati,TPST/TPS 3R,TPS,-6.9161037,107.5963194,5.5,13,452106
98,POOL KECAMATAN 14,POOL,POOL,-6.888570457142854,107.61495167142859,0.0,14,0
99,TPST Babakan Siliwangi,TPST/TPS 3R,TPS,-6.8851639,107.6088417,5.5,14,447245
100,TPST Babakan Siliwangi,TPST/TPS 3R,TPS,-6.8851496,107.608973,5.43,14,521624
101,TPST Sabuga ITB,TPST/TPS 3R,TPS,-6.8871588,107.6087282,4.41,14,400453
102,Tempat Pembuangan Sampah Terpadu Sabuga ITB,TPST/TPS 3R,TPS,-6.8871588,107.6087282,5.5,14,456987
103,RS SANTO BORROMEUS,TPST/TPS 3R,TPS,-6.8939955,107.6136797,5.5,14,533261
104,RS Khusus Ginjal Ny. R.A. Habibie,TPST/TPS 3R,TPS,-6.885246,107.6203275,5.5,14,446015
105,TPS 3R Sadang Serang,TPST/TPS 3R,TPS,-6.8909961,107.6269099,5.5,14,494199
106,PATRA JASA,TPST/TPS 3R,TPS,-6.8890902,107.6137453,5.5,14,481101
107,Moxy Hotel Bandung,TPST/TPS 3R,TPS,-6.88099149999999,107.6161735,5.5,14,426863
108,Kantor DLH Kota Bandung,TPST/TPS 3R,TPS,-6.89071089999999,107.6254085,5.5,14,418106
109,Hotel Neo Dipatiukur,TPST/TPS 3R,TPS,-6.88981209999999,107.6164407,4.88,14,383890
110,Rumah Sakit Gigi dan Mulut UNPAD,TPST/TPS 3R,TPS,-6.8905118,107.6191411,5.5,14,425261
111,Hotel Namin,TPST/TPS 3R,TPS,-6.8950833,107.6144706,5.02,14,469848
112,Universitas Islam Bandung,TPST/TPS 3R,TPS,-6.8889179,107.6077555,5.5,14,460663
113,POOL KECAMATAN 15,POOL,POOL,-6.9132567999999965,107.69701986666666,0.0,15,0
114,UJUNG BERUNG INDAH,TPST/TPS 3R,TPS,-6.913396,107.6953006,4.45,15,386039
115,RSUD Bandung,TPST/TPS 3R,TPS,-6.91563379999999,107.6987512,5.4,15,474920
116,CIGENDING,TPST/TPS 3R,TPS,-6.9107406,107.6970078,4.26,15,346515
117,POOL KECAMATAN 16,POOL,POOL,-6.903470745454544,107.60666109999998,0.0,16,0
118,TPS 3R FLYOVER TAMAN SARI (Rencana Penempatan),TPST/TPS 3R,TPS,-6.899581,107.607272,5.5,16,525714
119,TAMAN SARI,TPST/TPS 3R,TPS,-6.9018747,107.6082321,5.5,16,519800
120,Rumah Sakit Sariningsih,TPST/TPS 3R,TPS,-6.9066152,107.6112396,5.23,16,460299
121,RSIA Melinda 1,TPST/TPS 3R,TPS,-6.9069686,107.6032797,5.5,16,489582
122,RS Mata Cicendo Bandung,TPST/TPS 3R,TPS,-6.91017929999999,107.6044897,2.31,16,200084
123,PT. Hexa Pilar Utàma  (Balubur Town Square),TPST/TPS 3R,TPS,-6.8987975,107.6086532,5.5,16,431859
124,Novotel Bandung,TPST/TPS 3R,TPS,-6.9048517,107.604083,4.12,16,310334
125,RSKJP Melinda Cardio Vascular Center,TPST/TPS 3R,TPS,-6.9051506,107.6006522,5.5,16,421232
126,TPS 3R Taman Sari,TPST/TPS 3R,TPS,-6.9018747,107.6082321,5.5,16,460536
127,Grandia Hotel,TPST/TPS 3R,TPS,-6.9010206,107.6046142,4.87,16,470572
128,Hotel Four Point Bandung,TPST/TPS 3R,TPS,-6.90126429999999,107.6125243,5.5,16,508581
129,POOL KECAMATAN 17,POOL,POOL,-6.953956049999995,107.63709984999998,0.0,17,0
130,Yogya Center,TPST/TPS 3R,TPS,-6.94960729999999,107.6344299,4.88,17,398330
131,PT.Akur Pratama (Yogya DC),TPST/TPS 3R,TPS,-6.94960729999999,107.6344299,5.49,17,433156
