Koordinat,Jenis,Nama Fasilitas,Kapasitas
"-6.8458859,107.59907",TPST/TPS 3R,GUMILANG SARI,
"-6.9170649,107.621826",TPST/TPS 3R,GUDANG SELATAN,
"-6.9001525,107.6345048",TPST/TPS 3R,Griya Pahlawan,
"-6.95282739999999,107.6230636",TPST/TPS 3R,GRIYA BATUNUNGGAL,
"-6.9010206,107.6046142",TPST/TPS 3R,Grandia Hotel,
"-6.9236488,107.605747",TPST/TPS 3R,Grand Yogya Kepatihan,
"-6.9087923,107.5979058",TPST/TPS 3R,Grand Pacific Hotel,
"-6.9206495,107.6047258",TPST/TPS 3R,Golden Flower Hotel,
"-6.8504926,107.5982276",TPST/TPS 3R,GH UNIVERSAL HOTEL,
"-6.922815,107.6431681",TPST/TPS 3R,DESE,
"-6.8931581,107.5851205",TPST/TPS 3R,d'botanica Mall Bandung,
"-6.954184,107.638811",TPST/TPS 3R,CURUG ECE,
"-6.9043666,107.6230461",TPST/TPS 3R,Citarum Hotel,
"-6.8785672,107.5976287",TPST/TPS 3R,CIRATEUN RW 01,
"-6.8586639,107.5951929",TPST/TPS 3R,Cinnamon Hotel Boutieq Syariah,
"-6.8570613,107.5917076",TPST/TPS 3R,CILIMUS,
"-6.8939333,107.6047684",TPST/TPS 3R,Cihampelas Walk Mall,
"-6.9107406,107.6970078",TPST/TPS 3R,CIGENDING,
"-6.92433059999999,107.6327804",TPST/TPS 3R,CIBANGKONG RW 12,
"-6.9225439,107.6343872",TPST/TPS 3R,CIBANGKONG RW 11,
"-6.949202,107.663846",TPST/TPS 3R,"CIBANGKONG RW 10, 6",
"-6.92035139999999,107.6100873",TPST/TPS 3R,Hotel De Braga by Artotel,
"-6.9513447,107.5861091",TPST/TPS 3R,BIZ PARK,
"-6.9174639,107.6191228",TPST/TPS 3R,BINTARA,
"-6.9359164,107.6403497",TPST/TPS 3R,BINONGJATI,
"-6.88265609999999,107.6002269",TPST/TPS 3R,Belviu Hotel,
"-6.9546002,107.6272567",TPST/TPS 3R,BATUNUNGGAL INDAH,
"-6.9651889,107.6365477",TPST/TPS 3R,ADIYAKSA,
"-6.949378,107.567294",TPST/TPS 3R,TPST Cibolerang,
"-6.9162005,107.6106178",TPST/TPS 3R,Hotelél Hotel Bandung,
"-6.8981588,107.5983954",TPST/TPS 3R,RSUP Dr.Hasan Sadikin Bandung,
"-6.90126429999999,107.6125243",TPST/TPS 3R,Hotel Four Point Bandung,
"-6.91787179999999,107.6090829",TPST/TPS 3R,HOTEL GINO FERUCI BRAGA,
"-6.9269025,107.6472438",TPST/TPS 3R,Rumah Pengolahan Sampah(RPS)Summarecon Bandung,
"-6.9330604,107.6064105",TPST/TPS 3R,TPS 3 R Tegallega,
"-6.90691,107.72969",TPST/TPS 3R,TPST Taman Kahati,
"-6.88631959999999,107.603844",TPST/TPS 3R,HOTEL GRAND TJOKRO PREMIERE BANDUNG,
"-6.9130268,107.5977394",TPST/TPS 3R,Hotel Hilton Bandungi(PT.Yuskitama Lestar),
"-6.8905118,107.6191411",TPST/TPS 3R,Rumah Sakit Gigi dan Mulut UNPAD,
"-6.891511,107.67961",TPST/TPS 3R,TPST Pasir Impun,
"-6.8706,107.619437",TPST/TPS 3R,Hotel Jayakarta,
"-6.8950833,107.6144706",TPST/TPS 3R,Hotel Namin,
"-6.9161037,107.5963194",TPST/TPS 3R,Rumah Sakit Kebon Jati,
"-6.8750488,107.6053536",TPST/TPS 3R,TPS 3 R Universitas Katolik Parahyangan,
"-6.8889179,107.6077555",TPST/TPS 3R,Universitas Islam Bandung,
"-6.88643329999999,107.5809448",TPST/TPS 3R,Universitas Kristen Maranatha,
"-6.9465473,107.6216576",TPST/TPS 3R,TPS 3 R Pasirluyu,
"-6.9193412,107.6017833",TPST/TPS 3R,TPS 3 R Ence Azis,
